#{"t_start": 1656129889.257985, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
1.196043,5,3.241153
1.274706,3,3.468547
1.305014,5,3.813244
-0.751951,8,4.363888
0.29513,7,4.830529
1.379377,3,5.080405
1.323778,4,5.359152
-0.67384,5,5.702834
-0.727555,8,6.238807
1.134853,10,6.900339
-0.730627,6,7.315858
1.316366,5,7.659512
1.277408,11,8.344089
0.180433,8,8.956257
1.305284,7,9.451859
-0.81097,9,10.058014
1.259902,6,10.504735
1.139719,9,11.087365
1.283494,5,11.42804
-0.714033,6,11.820343
1.237484,5,12.161199
-0.741088,6,12.615735
1.341156,4,12.90389
1.29961,5,13.264654
-1.02185,14,14.147917
-1.286864,19,15.374913
1.185264,8,15.903824
1.247633,3,16.120938
-0.742189,8,16.651393
-0.893548,2,16.829645
-0.725837,8,17.339163
1.300216,4,17.651306
1.319002,6,18.060784
-0.739197,7,18.541176
-0.796874,3,18.771919
1.202692,6,19.183137
-0.810984,5,19.545504
1.320932,4,19.817341
-1.110848,12,20.718432
-0.900992,4,21.020165
-0.70346,6,21.441688
1.331199,5,21.785635
-0.804421,8,22.319144
-0.776336,7,22.843751
-0.751781,3,23.085318
-0.719985,7,23.560364
1.218914,5,23.914044
-0.789966,8,24.510383
-0.746578,8,25.020627
-0.628203,2,25.207367
1.28637,6,25.633955
1.146445,7,26.156975
-0.754882,6,26.624362
1.199201,6,27.080697
1.276603,8,27.592964
1.32051,5,27.947531
1.2997,4,28.238359
-0.709924,8,28.799193
1.096087,13,29.652763
-0.697578,2,29.818666
1.240653,9,30.430263
1.308968,5,30.759792
1.239251,4,31.046021
-0.843099,11,31.742601
1.256733,5,32.103034
1.081962,12,32.887186
1.200936,10,33.54733
-0.932859,15,34.509125
1.196799,8,35.036412
1.177411,7,35.47317
1.296107,6,35.899393
1.25851,5,36.266207
1.27897,4,36.538406
1.282985,5,36.883727
1.347196,6,37.309953
0.318393,7,37.760358
1.307851,4,38.032649
1.282023,4,38.311014
1.228068,6,38.730648
-1.092497,17,39.860704
-1.170234,11,40.660134
1.225436,5,41.03629
1.162398,8,41.5818
1.257568,4,41.879962
1.219518,7,42.364334
1.249405,4,42.655478
1.300026,6,43.112448
0.278122,7,43.605103
1.20855,5,43.974426
1.291814,9,44.57656
1.245684,9,45.18934
-1.098593,15,46.191904
1.198151,7,46.676769
1.221106,5,47.036777
1.12671,8,47.597071
1.291809,8,48.183749
-0.726446,9,48.820424
1.221855,5,49.19616
-0.749944,8,49.758689
1.239655,5,50.125072
1.220456,4,50.434806
1.223671,5,50.791068
1.149025,10,51.512846
1.228235,5,51.873182
1.244674,5,52.230656
1.250296,6,52.647393
-0.669954,4,52.963779
1.252175,6,53.392288
-0.949682,15,54.392462
-0.744866,7,54.889187
1.152209,9,55.546034
-0.710656,6,55.969411
1.218956,4,56.269426
1.271021,6,56.696606
1.087041,12,57.512087
-0.714479,8,58.07091
1.20583,5,58.426297
0.270386,7,58.914983
1.308228,7,59.409478
1.14388,8,59.963019
-0.743301,8,60.517227
1.223995,4,60.813009
1.196526,5,61.189507
1.312212,8,61.762174
1.212002,5,62.128259
-1.146817,20,63.434884
-0.752931,9,64.059697
1.005231,17,65.174228
1.243107,5,65.56425
1.178102,10,66.242901
-1.023131,13,67.135654
-0.720388,8,67.70179
-0.787635,9,68.316328
-1.107857,19,69.630544
-1.04837,16,70.72804
-0.822238,11,71.667343
-0.740054,9,72.296672
1.279965,7,72.7851
-0.774451,6,73.23679
1.320485,7,73.767156
1.281653,7,74.261419
1.256359,4,74.553797
-1.148044,18,75.726271
-0.775816,4,76.061748
-1.11619,18,77.219093
1.249238,8,77.791011
1.229541,12,78.587423
-0.700475,8,79.139769
1.174094,7,79.64501
-0.726149,8,80.220019
-0.703792,8,80.773468
-0.724576,8,81.340834
1.286802,8,81.902967
1.261819,5,82.275057
-0.724655,7,82.766131
1.278213,6,83.182193
-0.75953,9,83.816374
1.060978,12,84.685853
1.236215,6,85.123611
1.108912,12,85.94344
1.261269,7,86.426586
-0.688941,8,86.967929
-0.71363,9,87.599021
1.310895,5,87.977464
1.312263,6,88.404899
