#{"t_start": 1655148958.302861, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-10.173127,16,5.319169
-1.466803,100,16.348167
-1.341625,100,26.979494
-1.74762,84,36.279683
-1.504404,34,39.639581
-1.156708,12,40.731456
-1.496421,54,46.294617
-1.241978,100,57.968233
-1.062847,100,68.611675
-1.879407,95,80.897182
-1.743078,62,88.305599
-1.273962,100,98.032145
-1.827249,85,106.296618
-0.871635,4,106.741805
-1.290367,100,115.696787
-1.369805,11,116.699929
-1.283543,31,119.959638
-1.742788,100,127.964638
-1.031756,3,128.375725
-1.357315,100,138.83339
-1.165188,18,140.491478
-1.451852,42,146.027883
-1.358226,100,155.815037
-1.886611,100,165.389646
-4.380331,100,175.230866
-1.502908,38,178.732417
-1.473976,100,187.971563
-0.761034,93,196.715924
-1.711086,53,202.774848
-1.38647,8,203.691669
-1.183989,6,204.341254
-1.755434,94,214.831817
-1.311869,100,224.894006
-1.020582,29,227.590781
-1.619481,100,236.197993
-1.639515,50,241.580761
-1.557364,51,247.042999
-1.390087,100,255.501503
-1.485463,100,265.49673
-1.108837,10,266.489164
-0.758966,3,266.824394
-1.483591,100,278.31263
-1.948878,96,287.47986
-1.223487,100,296.856391
-1.412355,100,307.486903
-1.201922,100,316.819708
-1.495066,45,321.344101
-1.601178,100,329.455944
-1.563369,100,338.326723
-1.251448,22,340.433413
-1.07183,20,342.288208
-1.26129,20,344.848051
-1.181247,24,347.067918
-1.809415,100,358.452524
-4.197904,100,367.239143
-1.314731,100,375.551734
-1.558771,100,385.499809
-1.543932,81,393.676664
-2.137184,88,401.371447
-1.738086,100,412.476108
-1.368846,49,417.085099
-1.559079,100,426.12617
-1.401999,100,435.333678
-2.151565,100,444.918989
-1.146557,27,447.223721
-1.639214,100,456.537741
-1.693035,70,464.718894
-1.661937,63,470.607169
-1.025952,2,470.884682
-1.57137,100,481.09859
-1.073701,8,481.962443
-1.373035,28,484.540715
-1.447337,37,487.717445
-1.54479,100,499.805257
-1.794612,100,508.469678
-1.364202,16,510.237344
-0.978085,5,510.836509
-0.903,5,511.345306
-1.370403,53,515.976428
-1.654954,100,524.809298
-1.494608,50,530.432821
-1.455392,40,534.244658
-1.443741,53,539.359147
-1.087906,18,541.272609
-1.24646,37,544.132234
-1.065838,4,544.485357
-1.019947,6,545.047903
-1.690163,61,549.980889
-1.18479,9,550.816364
-1.470169,49,554.879309
-1.639222,82,560.82953
-1.457111,100,567.525511
-1.973307,95,574.064435
-1.846719,74,579.144691
-1.190312,15,580.407022
-0.916802,14,581.495089
-1.576374,53,585.621369
-1.713774,45,588.871678
-0.890989,10,589.678973
-1.891673,100,596.729681
-1.369562,14,597.949136
-1.205439,17,599.313172
-1.095958,16,600.671884
-1.365414,24,602.734369
-1.538704,37,605.393553
-1.322512,45,608.702409
-1.962918,100,615.654362
-1.076408,7,616.428089
-1.010036,11,617.347392
-1.252019,100,624.283147
-3.268018,13,625.273916
-1.060111,17,626.637353
-1.786815,64,630.9199
-1.042373,100,639.659125
-1.073888,4,640.417173
-2.472452,62,647.040377
-1.102656,3,647.388361
-1.232108,7,648.183872
-1.424465,22,650.668728
-1.358053,27,653.344592
-0.907859,6,654.007507
-1.662229,57,659.381582
-1.333561,39,663.670863
-1.599863,100,673.816112
-1.369329,38,678.413036
-1.129751,7,679.1704
-1.158299,25,681.429332
-1.574001,26,684.189575
-1.023417,6,684.946828
-1.071895,22,687.104613
-0.903614,5,687.67574
-1.126014,7,688.523008
-0.956344,5,689.044408
-1.077167,21,691.026108
-1.344692,14,692.494651
-1.47214,31,695.667284
-1.208895,22,698.55605
