#{"t_start": 1655146972.4645846, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-10.200956,11,4.53466
-1.257595,12,5.008354
-0.904959,11,5.445893
-0.838188,2,5.545417
-1.137479,1,5.593263
-0.764393,3,5.713364
-0.829434,2,5.807719
-0.917233,7,6.077754
-1.246626,18,6.752071
-1.909616,82,9.762548
-0.813315,2,9.864708
-0.842021,6,10.145838
-0.937965,2,10.22694
-1.113335,5,10.501353
-0.878483,2,10.606347
-0.853743,2,10.757436
-1.000064,5,10.939702
-10.920702,33,12.547633
-1.410347,13,13.107791
-1.228925,44,15.966473
-1.000888,1,16.019309
-0.943813,5,16.211466
-1.119602,16,16.972266
-0.941349,1,17.027261
-0.908753,3,17.212934
-0.982494,2,17.31801
-1.165153,9,17.605827
-1.097378,1,17.650884
-0.865066,6,17.957728
-1.094807,1,18.015978
-2.289261,44,19.723143
-1.353585,24,20.711387
-2.052154,10,22.032357
-1.733426,1,22.135442
-2.15736,2,22.849082
-1.050406,9,23.316336
-1.087457,8,23.669068
-0.934781,1,23.718945
-1.237721,9,24.160777
-0.946386,8,24.544288
-1.027636,4,24.72441
-0.911,1,24.780466
-1.358439,20,25.550246
-0.876801,12,26.043619
-1.194213,3,26.154637
-1.381628,39,27.718296
-1.054324,9,28.140212
-1.221244,17,28.848866
-1.151734,14,29.539182
-0.986109,5,29.73943
-1.811474,23,31.160382
-1.013692,8,31.559041
-0.901978,2,31.672925
-1.112095,2,31.764719
-0.762258,6,32.016254
-1.052483,6,32.299333
-1.061523,7,32.57656
-0.744373,1,32.627753
-1.274242,22,33.396324
-0.922024,5,33.648923
-0.946893,1,33.712879
-1.32856,13,34.213532
-1.00107,10,34.641184
-1.080685,2,34.737369
-1.01915,2,34.819641
-1.227165,7,35.081922
-1.06048,10,35.41702
-0.988821,2,35.490515
-0.952016,1,35.537883
-1.121777,10,35.962482
-1.115907,2,36.084587
-0.983664,1,36.135752
-0.911613,5,36.321555
-2.008746,7,36.736582
-1.91253,42,38.403724
-0.884324,4,38.588442
-0.99739,15,39.253851
-1.992717,94,43.138644
