#{"t_start": 1655149772.4237986, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-1.039732,3,3.098564
-1.248901,11,3.8224
-1.132036,100,10.340421
-1.822441,100,16.748373
-1.634122,76,21.595255
-1.574401,56,25.403525
-1.340456,100,31.861114
-1.333962,100,38.242863
-1.308657,36,40.463666
-1.211945,100,46.259881
-2.225974,73,51.086422
-1.414199,100,57.414623
-1.038704,4,57.720911
-1.215168,100,64.171253
-0.967192,10,64.826817
-1.626989,67,69.316164
-1.302244,41,71.825629
-1.384849,100,78.066438
-1.519031,100,84.330047
-1.612326,100,90.688491
-1.337936,100,97.006411
-1.155156,100,103.368542
-1.153395,18,104.626429
-0.822283,6,105.0651
-1.234726,100,111.245534
-1.729685,100,117.346693
-1.169431,27,119.0307
-1.517545,100,125.321723
-1.947077,38,127.800426
-1.416327,22,129.078588
-1.34747,26,130.795969
-1.308137,100,137.339512
-1.777922,6,137.800937
-0.882126,5,138.221855
-1.318308,100,144.391507
-2.054584,96,150.166768
-1.096661,19,151.347517
-1.467051,34,153.482506
-1.38352,50,156.646552
-1.373941,15,157.49757
-1.475544,100,163.806495
-1.977365,57,167.771052
-1.162149,22,169.443974
-1.566067,100,175.9607
-1.586957,74,180.47602
-1.281886,20,181.710255
-1.74518,69,186.22191
-0.985706,7,186.708085
-1.336519,33,188.860704
-1.634977,81,194.359721
-1.624384,73,199.03447
-1.308835,100,205.285728
-1.773215,8,205.909799
-1.334408,22,207.218835
-1.213266,3,207.441447
-1.419148,6,207.860327
-1.53828,100,214.114522
-1.53735,58,217.858736
-1.44328,15,218.78151
-1.072838,17,219.762732
-1.817134,100,226.249749
-1.740469,83,231.569397
-1.227178,8,232.103503
-1.777738,67,236.434288
-1.135335,7,236.868132
-1.224661,13,237.66275
0.161191,14,238.502846
-1.100907,7,238.962768
-1.075279,17,240.004322
-1.016477,16,240.969266
-1.586231,39,243.301487
-1.319481,53,246.785685
-0.885522,12,247.483112
-0.05901,34,249.623983
-0.821212,6,250.11884
-1.48737,9,250.710021
-0.881831,9,251.264199
-1.040902,12,252.005599
-1.089299,23,253.532828
-2.234995,78,258.884727
-0.839505,9,259.423637
-1.148578,15,260.299201
-2.003538,97,266.607419
-1.025309,11,267.38398
-1.264344,5,267.747669
-1.290807,7,268.220993
-1.521804,100,274.637233
-1.047063,13,275.46081
-1.027643,15,276.315567
-1.523739,48,279.453453
-1.098183,13,280.343501
-1.432115,42,282.902077
-1.436207,14,283.863956
-1.338134,40,286.491793
-1.753885,100,293.00325
-1.29525,100,299.324002
-1.297331,27,301.121815
-1.581607,11,301.902361
-0.966266,8,302.472972
-1.539137,100,309.002867
-1.112187,14,309.911539
-1.148031,17,310.919328
