#{"t_start": 1655145936.877487, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-10.140214,11,4.128121
-1.199199,4,4.374942
-0.88649,1,4.423132
-1.898078,4,4.765639
-1.920212,2,4.913997
-0.971024,9,5.267438
-0.838452,4,5.37417
-1.219223,1,5.418478
-0.655544,5,5.614782
-2.388834,5,5.85506
-1.958847,2,6.159061
-1.929807,1,6.217963
-0.906207,6,6.434104
-2.263093,2,7.005801
-2.070897,1,7.139975
-0.995384,1,7.178729
-1.20505,15,7.787341
-4.141074,40,9.135891
-0.829806,7,9.42044
-1.44403,28,10.550133
-0.926944,1,10.585294
-1.027555,7,10.897204
-0.980841,10,11.240241
-1.878212,25,12.167406
-1.136512,8,12.476977
-1.034001,1,12.537972
-1.123117,11,12.963076
-1.094002,2,13.044721
-1.025633,2,13.143548
-1.40216,15,13.706177
-1.06896,4,13.878975
-1.242825,10,14.319427
-0.904391,5,14.510305
-0.88451,2,14.613883
-1.509227,24,15.599207
-0.929024,1,15.662065
-1.281461,22,16.431494
-0.960075,2,16.516023
-0.969257,2,16.613648
-1.298267,18,17.452147
-0.870925,2,17.85003
-0.994533,2,18.259949
-0.925372,6,18.448787
-1.326351,29,19.518031
-1.20936,16,20.120026
-0.957652,1,20.159656
-1.134892,9,20.482608
-0.828155,2,20.563322
-1.074585,2,20.641901
-0.98069,5,20.852689
-0.839818,3,21.019644
-1.502373,20,21.689059
-0.760537,11,22.029542
-1.06007,11,22.419642
-1.090856,10,22.842658
-1.798807,66,25.343437
-0.994068,2,25.447082
-0.82024,1,25.494971
-1.062301,8,25.918947
-1.793436,1,26.065413
-1.947429,1,26.173324
-1.071521,9,26.525361
-0.974764,9,26.899264
-0.929436,1,26.928168
-1.143476,17,27.508273
-1.119716,7,27.787179
-1.045427,11,28.212361
-1.18495,7,28.651229
-1.027363,4,28.854134
-1.018781,1,28.904637
-1.015391,4,29.023349
-1.279411,11,29.421589
-1.15397,2,29.486678
-1.096429,2,29.588807
-1.145429,2,29.669894
-1.481162,7,29.973844
-1.075021,3,30.11995
