#{"t_start": 1655146621.219274, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-10.056251,11,4.219786
-0.946807,13,4.80548
-0.923715,2,4.898773
-9.967297,24,7.63081
-0.820314,2,7.780932
-0.701694,1,7.815315
-0.845066,4,7.96611
-1.944746,1,8.091446
-1.725116,2,8.337391
-1.358147,11,8.815705
-1.967559,77,11.984835
-2.200678,82,15.375666
-1.753654,54,17.512803
-0.884932,5,17.765625
-0.787061,3,17.869074
-0.928993,5,18.025004
-0.946498,2,18.11694
-2.332695,79,21.04875
-0.990106,11,21.430765
-1.018167,9,21.880827
-1.22857,13,22.407541
-1.455574,8,22.84554
-1.314225,2,23.067498
-0.960624,4,23.259859
-0.995937,8,23.548347
-0.899633,6,23.793905
-1.126326,2,23.887266
-0.999042,2,23.982765
-2.083175,43,25.633139
-1.322781,14,26.321475
-1.075145,2,26.436726
-1.30021,8,26.787401
-0.998475,18,27.633881
-0.726629,2,27.801539
-1.293582,13,28.370269
-1.083884,4,28.510342
-0.856345,2,28.582724
-0.891051,2,28.683299
-1.085493,9,29.073432
-1.161626,4,29.294151
-0.879706,2,29.396163
-1.026421,1,29.434871
-0.863442,4,29.59512
-1.016172,11,30.137222
-0.854983,5,30.345886
-0.882141,2,30.408278
-2.006503,6,30.705855
-1.212645,24,31.430061
-0.870035,9,31.833382
-0.817726,1,31.888092
-1.339211,19,32.62293
-1.232284,16,33.234394
-1.006349,1,33.280764
-1.091203,14,33.679917
-0.91139,2,33.749713
-0.852858,2,33.814358
-1.016904,1,33.853843
-1.052322,10,34.233757
-1.372545,12,34.828717
-1.120636,2,34.928904
-1.787333,22,35.910232
-0.916131,7,36.181835
-1.291135,13,36.780056
-1.089982,8,37.09881
-1.094819,3,37.207009
-1.674131,48,39.002481
-0.863918,1,39.034219
-0.831413,3,39.147072
-0.940391,8,39.398354
-2.137884,2,39.945871
-1.85692,2,40.090042
-2.060712,1,40.245196
-2.210993,1,40.387753
-2.137232,2,40.757932
-1.970179,1,40.991627
-1.955754,1,41.041389
-1.402402,17,41.797387
-0.951434,6,42.018557
-1.014642,3,42.117007
-1.652072,36,44.732652
-0.806,10,45.200958
-1.03543,5,45.414123
-1.790322,29,46.773519
-1.144617,8,47.109102
-1.215521,10,47.557229
-0.962883,6,47.773707
-0.850902,1,47.812515
-1.287348,26,49.006205
-1.980535,10,49.517253
-1.013918,3,49.615983
-1.014007,1,49.669188
-1.065065,10,50.1747
-1.11296,3,50.274144
-1.028016,9,50.662242
-1.098746,3,50.798814
-1.060373,2,50.859884
-0.988816,6,51.047963
-1.093773,13,51.653917
-1.079702,1,51.700296
-0.912887,7,52.042247
-1.103784,9,52.37128
-1.021261,4,52.507601
-1.035788,4,52.636408
-1.671208,29,53.830855
0.14769,10,54.165069
-1.078327,3,54.305162
-1.232194,16,55.051427
0.028139,2,55.143806
-2.219812,12,55.601655
-1.39941,2,55.791684
-0.985379,5,55.964647
-0.954219,2,56.039838
-2.346459,1,56.238438
-1.027593,1,56.276093
-1.068552,9,56.615468
-0.948573,2,56.734994
-1.04892,5,56.940379
-1.465354,17,57.579496
-1.484659,20,58.331388
-1.196668,1,58.370941
-0.904626,6,58.613565
-1.051086,1,58.647641
-0.908919,8,59.024807
-1.106478,5,59.275961
-1.274275,1,59.319204
-1.459271,31,60.796139
-0.915639,3,60.936093
-1.063047,7,61.218382
-1.049021,1,61.26305
-1.370435,33,62.699981
-1.054491,2,62.82099
-1.032984,17,63.434518
-1.023881,9,63.762344
-1.073409,9,64.11051
-0.982503,24,65.05063
-1.180034,12,65.686726
-0.851971,8,66.012631
-1.020662,11,66.475988
-1.065841,7,66.744035
-0.98731,10,67.061723
-1.196607,16,67.871912
-1.619004,2,68.017747
-1.178498,22,69.118595
-0.9532,1,69.16443
-0.955845,8,69.523406
-2.00587,2,69.763956
-1.917695,1,69.907435
-0.659782,5,70.09667
-1.183015,6,70.350105
-0.924186,1,70.399548
-1.029856,10,70.815933
-0.976824,6,71.081305
-1.358365,26,72.141455
-0.99561,2,72.209545
-0.92257,1,72.246195
-0.940691,2,72.374835
-1.314037,48,74.281816
