#{"t_start": 1656303419.6342132, "env_id": "IK-WMO-Gazebo-v0"}
r,l,t
-0.95079,5,4.315974
-1.171223,11,5.360651
-1.118306,10,6.392953
-1.392343,9,7.301603
-1.063964,11,8.31103
-1.107187,4,8.754557
-1.822565,36,12.08375
-2.6079,75,19.00532
-1.931888,39,22.520158
-1.118636,13,23.705927
-1.409282,19,25.602683
-1.570982,30,28.550633
-2.196683,100,37.290133
-1.895098,62,42.559741
-0.959314,3,42.892763
-1.346104,23,45.010305
-1.241336,21,47.233241
-0.980847,6,47.813361
-1.321771,17,49.526623
-1.843176,37,53.173492
-1.182387,16,54.924841
