#{"t_start": 1656494474.1726418, "env_id": "IK-WMMO-Gazebo-v0"}
r,l,t
-0.985412,1,4.65284
-2.657453,100,11.574564
0.931541,17,12.805285
-2.043314,100,20.018062
-2.051927,100,27.065231
-2.435744,73,33.087803
-1.092101,13,34.131015
-1.8587,39,37.157278
-2.391337,100,46.863527
-1.888449,100,56.199377
-1.887,100,64.23359
-3.140108,100,71.858145
-0.597858,83,77.528614
0.123596,49,80.814772
0.891001,11,81.582018
0.711695,25,83.219113
-1.8683,100,89.757274
-2.238747,100,96.573594
-2.561981,79,102.205338
-2.580704,80,107.70349
-1.97267,100,114.197394
-2.137391,100,122.143091
-2.121863,100,129.139412
-1.931237,100,135.502868
-2.013262,100,142.140043
-2.248612,100,148.841192
-2.112901,100,155.744752
-1.913853,56,159.658424
-1.909191,100,166.291633
-2.166817,100,172.902483
-2.22599,100,179.588875
-1.820654,100,186.387132
-2.181965,100,192.937088
-1.935722,100,199.265755
-1.242994,29,201.284842
-2.097319,100,207.839813
-2.064453,100,214.293139
-2.120895,100,220.747231
-1.405165,26,222.545243
-2.107482,100,229.259989
-1.524563,34,231.505476
-1.867315,100,238.239602
-2.178279,100,244.901954
-1.125288,8,245.461496
-2.2632,66,249.657061
-1.210854,25,251.378664
-1.907561,100,258.487241
-1.825973,100,264.901077
-2.055079,100,271.857079
-2.033139,100,278.912397
-1.971296,100,285.732368
1.033722,14,286.775056
1.121537,7,287.397771
-1.963199,59,291.306042
-1.967365,100,297.845941
-1.477476,32,299.989035
-1.997397,100,306.684671
-1.741509,100,313.156354
-1.9557,100,319.592992
-1.049757,9,320.239681
-2.047002,100,326.786373
-0.062497,65,331.228977
-0.983512,8,331.879184
0.89117,16,333.027488
-1.051791,9,333.745114
-0.9945,9,334.420009
-1.571551,33,336.645739
1.15435,6,337.099664
-1.139502,20,338.485676
1.05985,6,338.957893
-0.997947,4,339.33714
-1.115027,10,340.057249
-1.678752,100,346.734018
-1.894205,100,353.256278
-1.279914,17,354.437375
-0.851929,6,354.921448
-2.768426,98,361.692721
-1.517394,34,364.001275
-1.027181,15,365.062175
-1.054027,6,365.55121
-1.100085,17,367.017705
0.888492,12,367.870804
-1.095992,10,368.583044
-0.977423,7,369.071336
-2.224774,100,375.587538
-2.120215,100,382.338889
-1.975516,100,389.24171
-1.860986,100,396.357523
-1.140598,17,397.478483
1.049185,13,398.399143
0.970261,8,398.963547
-1.991976,100,405.49837
-2.0729,100,412.103375
-1.979078,100,418.8767
1.083643,6,419.333957
-1.013912,6,419.769733
-0.992428,12,420.590217
-2.020048,100,427.268931
-1.995393,100,433.891921
0.85409,20,435.219623
-1.989395,100,441.958257
-2.015789,100,448.852644
-1.970784,100,455.337869
-1.234245,15,456.365464
-1.505446,21,457.816307
-0.91469,8,458.408996
-2.075286,100,465.080259
-1.857173,100,471.570885
1.225784,10,472.310127
-1.034984,12,473.185164
-1.993875,100,479.673434
-1.153797,17,480.81706
-0.967665,5,481.213379
-0.969384,7,481.741009
-1.424942,25,483.778163
-1.002475,4,484.07947
-1.837168,100,490.582566
-1.943332,100,497.029142
-1.841158,100,503.676067
-1.744081,47,506.72831
-2.095438,100,513.242517
-2.00589,100,519.864283
0.962536,11,520.605772
-1.043664,5,521.023632
-2.23176,100,527.838481
-0.946319,5,528.236522
-2.14875,56,532.219788
0.999554,6,532.678219
0.921135,14,533.695872
-1.809666,100,540.466026
-2.298685,75,545.218051
-1.943334,100,551.561846
-1.432384,26,553.224576
-1.743539,41,555.831853
-2.09662,100,563.598026
-3.066611,96,571.410076
-2.127804,100,578.078289
-1.965059,100,585.253316
-2.531547,81,591.131462
-2.163121,100,598.547441
-2.436292,69,603.132506
-1.799056,100,609.82822
-2.010856,100,616.498416
-1.438874,23,617.971772
-2.068819,100,624.378544
-2.818014,98,630.635929
-2.219175,100,636.998894
-1.879189,100,644.323655
-1.321185,24,646.602134
-1.979305,100,654.452925
-1.793824,100,661.530036
0.679423,34,664.661657
0.940717,16,666.226389
1.101367,12,667.144257
-1.461282,25,668.873282
-2.051249,100,675.39518
0.41029,37,677.788198
-1.249564,27,679.576041
-1.915237,100,685.812639
-2.127011,100,692.671054
-1.890323,100,698.902182
1.184189,4,699.199445
-2.102653,100,705.678074
0.907194,25,707.333623
0.96918,9,707.962766
-1.859351,100,714.163296
-1.975887,100,720.271681
