#{"t_start": 1656485875.503683, "env_id": "IK-WMMO-Gazebo-v0"}
r,l,t
-1.24229,17,5.574579
-1.732893,26,8.057697
-1.368627,9,8.965886
-2.123841,59,14.107283
-1.927325,54,21.343302
-2.610434,80,28.269771
-1.988474,100,36.90716
-2.155767,100,46.021579
-1.141938,12,47.310876
-1.333612,20,49.437253
-1.885879,10,50.61229
-1.634779,19,52.735509
-2.461381,100,61.872859
-2.093314,100,70.759396
-2.768903,100,79.839848
-2.399268,64,85.827955
-1.275459,10,86.888734
-2.244152,100,96.075178
