#{"t_start": 1656094219.7620027, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
-2.680603,50,6.324172
-2.17384,100,13.405247
-2.361951,100,20.42699
-0.975594,8,21.102395
-0.972936,5,21.581875
-1.264489,21,23.239756
-1.284299,7,23.804328
-2.493057,74,29.505462
-1.824124,61,33.670532
-1.828333,37,36.365154
-1.85703,23,38.067109
-1.28389,8,38.667644
-1.116839,20,40.055844
-1.909073,10,40.842134
-0.984291,11,41.584055
-2.050191,13,42.589538
-1.464635,18,44.265833
-1.696531,27,46.429502
-2.39122,100,53.577958
-1.555676,27,55.537404
-1.593922,29,57.780399
-2.44151,60,62.083439
-1.445631,27,63.985785
-0.94945,7,64.586529
-1.381654,21,66.169434
-2.515505,74,71.563768
-1.456565,30,73.797444
-1.871229,44,77.109543
-2.45326,100,84.271226
-3.027838,100,91.294499
-2.845329,39,94.445828
-1.549753,16,95.578917
-1.990955,100,102.552484
-2.3901,100,109.667762
-1.930726,100,116.737351
-2.273828,100,124.256136
-2.224266,100,131.295071
-1.912414,47,134.502808
-2.337928,100,141.680105
-3.052854,100,148.856194
-2.798262,100,156.181216
-2.736934,100,163.454376
-2.391135,100,170.421504
-1.63105,35,172.843128
-2.881463,100,179.899723
-2.974225,100,187.16088
-2.488053,100,194.271547
-2.51621,100,201.410892
-1.490586,24,203.175218
-3.024107,95,209.833049
-2.537456,100,216.890955
-2.738189,100,223.990188
-2.609289,100,230.96998
-2.855658,100,238.334269
-2.162675,39,241.201493
-3.375872,88,247.992863
-2.296815,100,254.892342
-2.428514,100,261.912205
-2.618009,100,268.769053
-2.40924,100,275.908459
-2.35052,100,283.003845
-1.963352,55,286.74834
-2.453604,100,293.670332
-2.878532,100,300.546128
-2.336169,100,307.924479
-2.394217,100,314.876891
-2.839074,100,322.18743
-2.70909,100,329.415476
-2.598575,100,336.764631
-2.79062,100,343.84604
-2.820456,100,353.621814
-2.822573,100,361.677886
-1.743286,38,364.917208
-2.29206,100,372.790388
-2.397476,100,380.091425
-2.75302,100,388.407031
-2.448465,100,397.937577
-2.073677,54,403.031622
-2.465392,100,412.056086
-2.331239,100,419.798476
-2.307468,100,426.80255
-2.861919,100,433.704615
