#{"t_start": 1656155813.5905988, "env_id": "IK-WO-Gazebo-v0"}
r,l,t
1.269999,2,5.076873
1.274619,3,6.834023
1.351022,3,8.620342
-0.622747,5,11.536952
0.376222,4,13.879215
1.373623,4,16.194004
1.355913,3,18.036207
-0.845241,3,19.869457
-0.785945,10,25.313798
1.223222,6,28.62506
-0.735587,2,29.938052
-0.70276,4,32.247192
-0.731547,3,34.054675
0.269746,3,35.82706
-0.671433,4,38.132796
0.298688,4,40.40657
1.327602,3,42.135936
1.203803,6,45.346222
0.310839,4,47.647456
-1.614223,51,74.921527
1.285026,3,76.692079
-0.779951,3,78.445905
1.327139,4,80.783136
-1.080406,15,88.754325
1.26506,3,90.609043
1.230979,4,92.907275
1.214972,8,97.120638
1.206087,5,100.076601
-1.048158,7,104.030329
1.240079,3,105.884076
-1.357054,16,113.885607
0.286679,4,116.11453
-1.269449,14,122.843748
-0.768781,8,126.911388
1.232169,6,130.018236
1.27917,3,131.872295
-0.879703,9,136.262301
1.33592,3,138.044803
1.1717,6,141.166751
-0.923358,8,145.200419
-0.71639,6,148.573122
1.333908,4,150.841795
1.298676,6,154.045663
-0.837196,9,158.488366
1.325941,4,160.751857
-0.726725,6,163.912938
1.279058,3,165.709749
-0.850669,13,171.946231
-0.706287,6,175.073277
1.36898,4,177.337605
1.299539,4,179.607565
-0.809129,4,181.884478
-2.054695,46,202.84807
1.257236,3,204.621609
1.327441,4,206.933476
1.296816,5,209.594344
1.328689,3,211.389994
-0.681926,6,214.512544
1.280979,4,216.785519
1.343159,4,219.051768
1.30415,5,221.747651
1.270507,6,224.881702
1.270658,3,226.665834
-2.590216,100,272.141427
1.288727,4,274.386661
1.242068,4,276.63514
1.312999,4,278.875933
1.255516,6,281.99838
1.284439,4,284.260328
1.261191,3,286.064178
1.349011,4,288.332844
1.296828,3,290.166587
1.302436,4,292.390897
1.302953,4,294.628572
1.366994,5,297.33071
-0.818369,10,302.243628
1.314569,4,304.519992
1.277255,4,306.779843
1.283299,4,309.015645
-0.670301,4,311.244987
-1.554677,25,323.032424
1.203258,5,325.77598
-0.793057,4,328.122892
1.292072,3,329.962829
1.277466,3,331.775123
1.244532,3,333.581311
0.329752,4,335.83731
0.341225,4,338.094902
1.231639,3,339.971244
